label,statement,job_title,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context
1,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together  forget the united states,15,1,1.0,0.0,1.0,0.0,0.0,13
3,says scott brown cosponsored legislation to let employers deny women coverage for birth control,10,1,3.0,0.0,4.0,2.0,0.0,0
1,at some point in their lives  of women use birth control,12,1,0.0,0.0,1.0,0.0,0.0,2
1,in rick perrys texas we import nurses  from other countries,15,1,2.0,3.0,5.0,7.0,3.0,3
2,there is a federal criminal law that says its a crime to transport dentures across state lines,13,0,0.0,1.0,4.0,3.0,0.0,1
2,we built a new prison every  days between  and  to keep up with our mass incarceration explosion of nonviolent offenders,0,1,0.0,4.0,2.0,8.0,0.0,13
4,sen mccains tax plan provides virtually nothing to the middle class,0,1,11.0,10.0,21.0,16.0,4.0,7
0,austin is burdened by the fastestgrowing tax increases of any major city in the nation,15,2,0.0,1.0,0.0,0.0,0.0,13
0,phoenix arizona is the no  kidnapping capital of the world,0,0,31.0,39.0,31.0,37.0,8.0,12
3,i belong to the aflcio,2,0,30.0,30.0,42.0,23.0,18.0,13
1,says a poll found him the only republican candidate who could beat barack obama in texas  and by eight points,2,0,34.0,32.0,58.0,33.0,19.0,13
4,president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon,2,0,34.0,32.0,58.0,33.0,19.0,1
3,did you know us population growth is at its lowest since the great depression,15,5,0.0,0.0,0.0,1.0,0.0,5
2,the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones,7,0,2.0,3.0,4.0,3.0,0.0,13
3,since  more americans have died from gunfire than died in all the wars of this countrys history,15,2,1.0,0.0,0.0,0.0,0.0,13
2,raising the minimum wage to  an hour would help lift over a million americans out of poverty,15,1,2.0,2.0,3.0,1.0,0.0,7
2,says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism,15,0,7.0,6.0,5.0,7.0,0.0,1
0,nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,1,0,63.0,114.0,51.0,37.0,61.0,7
3,sen obama has always had a  percent prochoice rating,1,1,70.0,71.0,160.0,163.0,9.0,10
1,since gina raimondo took office investment fees on the states pension portfolio have gone up from about  million annually to about  million,15,1,0.0,0.0,4.0,0.0,0.0,8
3,the federal debt is growing by more than  billion a day,2,0,30.0,30.0,42.0,23.0,18.0,13
1,under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers,13,1,0.0,0.0,2.0,1.0,0.0,1
0,of our  teachers who are k over  of those teachers today are over  years old,2,1,12.0,6.0,2.0,2.0,3.0,3
2,twothirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions,9,0,26.0,41.0,32.0,40.0,11.0,3
1,the irs also investigated liberal groups groups that had progressive in their name  the irs was basically looking at everybody,15,1,0.0,1.0,4.0,7.0,0.0,12
4,says obama promised unemployment would never go above  percent,4,0,19.0,6.0,16.0,14.0,2.0,7
3,the economy is creating jobs at the fastest pace since ,1,1,70.0,71.0,160.0,163.0,9.0,13
2,in a majority of states you can now marry freely but can still be fired for who you love,15,1,1.0,2.0,2.0,3.0,0.0,13
5,rudy giuliani is probably the most underqualified man since george bush to seek the presidency,0,1,11.0,10.0,21.0,16.0,4.0,13
0,about half of the presidents have been governors half of them senators,10,0,36.0,33.0,15.0,19.0,8.0,13
2,after britains vote to leave the european union within  hours americans lost  billion from our ks,1,1,40.0,29.0,69.0,76.0,7.0,13
2,medicaid spending declined by  percent in  the second such decline in  years,15,1,1.0,0.0,1.0,3.0,1.0,3
3,says  texas constables have died in the line of duty,15,1,0.0,0.0,0.0,1.0,0.0,13
2,the city of columbus would save  million a year if employees had to contribute to their own guaranteedcheck pensions,15,0,1.0,0.0,0.0,1.0,0.0,13
2,you had more women getting computer sciences degrees in the s by a factor of plus than you do now,1,1,40.0,29.0,69.0,76.0,7.0,13
2,he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy,0,0,31.0,39.0,31.0,37.0,8.0,13
2,the years that i was speaker the florida house consistently offered leaner budgets than the governor offered,0,0,33.0,24.0,32.0,35.0,5.0,7
4,we are already almost halfway to our  goal of creating  new jobs in seven years,2,0,28.0,23.0,38.0,34.0,7.0,13
3,oregonians have an amazing nocost way to fight abortion with free political donations,15,2,0.0,0.0,0.0,0.0,0.0,13
2,newt gingrichs immigration plan offers a new doorway to amnesty,2,0,34.0,32.0,58.0,33.0,19.0,8
4,in rhode island  percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only  percent,15,0,1.0,0.0,1.0,1.0,0.0,3
2,in just  years spending for social security federal health care and interest on the debt will exceed all tax revenue,15,0,2.0,5.0,0.0,2.0,0.0,5
2,president obama took more money from wall street in the  campaign than anybody ever had,1,1,40.0,29.0,69.0,76.0,7.0,7
1,donald trump has said nuclear proliferation is ok,0,1,3.0,1.0,6.0,3.0,0.0,1
3,hillary clinton has taken over  from lobbyists,1,1,70.0,71.0,160.0,163.0,9.0,13
0,barack obama has never even worked in business,0,0,3.0,5.0,11.0,11.0,1.0,3
1,says the arizona immigration law expressly bans racial profiling,10,0,5.0,3.0,6.0,2.0,1.0,13
0,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,15,0,2.0,6.0,1.0,0.0,1.0,1
4,on the va over  veterans have died waiting for care,1,0,63.0,114.0,51.0,37.0,61.0,3
2,were now spending  percent of our economy on government,2,0,34.0,32.0,58.0,33.0,19.0,7
1,we democrats have made steady progress creating jobs and improving our schools,15,1,0.0,1.0,2.0,3.0,0.0,0
5,michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there,6,0,0.0,0.0,1.0,0.0,2.0,13
3,whether you like to admit it or not half our general revenue goes to education,1,0,0.0,3.0,1.0,1.0,0.0,12
1,there are  other states and  other cities that have the same type of policies that we just passed referring to north carolinas house bill ,15,0,0.0,0.0,1.0,0.0,0.0,1
4,climate change is directly related to the growth of terrorism,0,3,18.0,12.0,22.0,41.0,0.0,7
4,the jobs bill includes president obamas tax on soup kitchens,15,0,9.0,6.0,4.0,4.0,4.0,11
4,says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china,4,0,19.0,6.0,16.0,14.0,2.0,7
0,we have more illegal immigrants here than we did five years ago,0,0,33.0,24.0,32.0,35.0,5.0,1
4,says rick perry wrote a letter supporting hillarycare,4,0,5.0,8.0,8.0,8.0,3.0,7
2,mexican immigrants are more lawabiding than us citizens and that is a statistic,1,5,3.0,2.0,5.0,6.0,0.0,1
3,there are already more american jobs in the solar industry than in coal mining,0,1,2.0,3.0,2.0,7.0,0.0,12
1,says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would masseuthanize sheltered dogs and cats in gas chambers,2,1,0.0,0.0,1.0,0.0,1.0,6
1,barack obama is in an economy thats only worsened since hes been president of the united states,15,3,0.0,0.0,2.0,4.0,0.0,1
2,romney failed to take action against sanctuary cities in massachusetts,12,0,9.0,11.0,10.0,7.0,3.0,13
0,says thomas eric duncan came into the united states with an elevated temperature,11,0,0.0,3.0,0.0,0.0,0.0,12
1,gas prices have gone up  since obama took office,15,0,0.0,0.0,1.0,0.0,0.0,5
3,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,11,1,6.0,5.0,4.0,11.0,1.0,4
3,says judges get better benefits at a lower cost than everybody else in the state,2,0,10.0,17.0,27.0,19.0,8.0,8
3,there are a lot of casinos across the country that have gone bankrupt,7,1,0.0,0.0,0.0,0.0,0.0,3
3,small businesses create  percent of the jobs in america,15,0,9.0,6.0,4.0,4.0,4.0,0
1,seniors with coverage under medicare advantage will give up more than their share because of health care reform,15,2,0.0,0.0,2.0,0.0,0.0,13
2,if texas were a country our economy would rank  in the world,2,0,11.0,3.0,8.0,6.0,5.0,5
0,there are more oil rigs in operation in the united states than the rest of the world combined,15,1,7.0,4.0,5.0,4.0,1.0,7
1,payday lenders profit from the poor by charging plus percent interest,6,1,5.0,1.0,8.0,12.0,1.0,2
1,the social security trust fund is sound without anything being done it would function well into  and even after that time with no changes we could pay  percent of the benefits that people have earned,15,1,0.0,2.0,4.0,4.0,0.0,3
2,the republicans have  percent of the muslim vote,12,2,0.0,0.0,0.0,1.0,0.0,12
2,we see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world,13,1,3.0,0.0,4.0,3.0,0.0,13
2,marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,1,1,40.0,29.0,69.0,76.0,7.0,11
0,not one republican has the guts to recognize that climate change is real,0,3,18.0,12.0,22.0,41.0,0.0,7
1,while our people work longer hours for lower wages almost all new income goes to the top  percent,0,3,18.0,12.0,22.0,41.0,0.0,13
5,david dewhurst has a record of promoting an income tax,10,0,36.0,33.0,15.0,19.0,8.0,13
2,point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons,15,3,0.0,0.0,0.0,1.0,0.0,13
4,in the past year more than  percent of americans have changed their mind about the war in afghanistan they conclude we shouldnt be there,11,1,6.0,5.0,4.0,11.0,1.0,1
0,in the last five years  people have been killed along the usmexico border,13,0,2.0,5.0,1.0,3.0,0.0,0
4,the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation,4,0,2.0,1.0,0.0,0.0,0.0,13
4,says hb hasnt moved the needle one iota on north carolinas economy,15,0,1.0,0.0,0.0,0.0,0.0,3
0,close to  of our federal prison population consists of illegal immigrants,15,0,0.0,1.0,0.0,0.0,0.0,6
3,says rep jim weidner proposed a bill taking away health care for  of oregons children,15,1,0.0,0.0,0.0,0.0,0.0,11
0,obamacare is the biggest tax increase in american history,15,0,2.0,4.0,1.0,2.0,1.0,1
4,milwaukee mayor tom barrett has held the line on property taxes,1,1,70.0,71.0,160.0,163.0,9.0,3
3,im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than ,11,1,6.0,5.0,4.0,11.0,1.0,1
3,unlike the gridlock in washington more than  percent of the bills we passed during this general assembly had bipartisan support,1,0,0.0,0.0,0.0,0.0,1.0,13
0,josh mandel is lying about his own record the rating of ohios investment fund has not improved,0,1,3.0,4.0,5.0,8.0,1.0,6
1,on how money from a possible lease of the ohio turnpike would be used,2,0,9.0,8.0,10.0,18.0,3.0,1
2,at the beginning of the last decade  america had a budget surplus of over  billion by the time i took office we had a oneyear deficit of over  trillion and projected deficits of  trillion over the next decade,1,1,70.0,71.0,160.0,163.0,9.0,3
1,the president has had  of his nominations confirmed only four defeated,15,0,7.0,6.0,5.0,7.0,0.0,1
3,us taxpayers are being forced to fund feisal abdul raufs trip to the middle east,4,0,0.0,0.0,1.0,0.0,0.0,2
4,milwaukee county taxpayers paid  to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront,15,1,1.0,0.0,0.0,0.0,0.0,1
2,there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election,15,1,0.0,0.0,0.0,2.0,0.0,12
3,democratic presidents have been considerably more effective at creating privatesector jobs,4,1,0.0,0.0,0.0,0.0,0.0,3
3,joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq,0,0,2.0,2.0,4.0,2.0,0.0,1
4,says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed,15,1,1.0,0.0,0.0,0.0,0.0,13
1,one percent of the american people make over  percent of all the income in america that wasnt the way before george bush became president,0,1,11.0,10.0,21.0,16.0,4.0,1
1,military recruiting went on at harvard every single day throughout the time kagan was there,0,1,0.0,0.0,1.0,0.0,0.0,13
2,the paul ryan budget proposal would privatize medicare,15,2,0.0,1.0,0.0,1.0,0.0,13
1,the united states imprisons more than any nation in the world,13,1,3.0,0.0,4.0,3.0,0.0,3
5,says marco rubio is the one for an open border,15,0,7.0,8.0,10.0,12.0,3.0,7
2,over  years federal spending on education has grown by  percent but test scores remain flat,15,0,2.0,5.0,0.0,2.0,0.0,5
3,the american healthcare system burns  percent of our national gdp nobody else is close,0,1,2.0,3.0,2.0,7.0,0.0,3
0,providences port is  miles closer to europe than any other eastern port,15,4,0.0,1.0,0.0,0.0,1.0,8
3,says you need a photo id to purchase sudafed in texas,2,0,30.0,30.0,42.0,23.0,18.0,1
2,twenty percent of housing in portlands pearl district is affordable,1,1,0.0,0.0,0.0,1.0,0.0,13
2,says allowing the payroll tax holiday to expire would end up costing another estimated  jobs in ,0,1,0.0,1.0,3.0,6.0,0.0,13
1,hillary clinton supported nafta and permanent china trade pennsylvania lost thousands of jobs,1,1,70.0,71.0,160.0,163.0,9.0,10
1,numerous studies have shown that these socalled righttowork laws do not generate jobs and economic growth,15,1,0.0,1.0,1.0,3.0,0.0,2
4,says hillary clinton said the veterans affairs scandal is overexaggerated she said she was satisfied with what was going on,1,0,63.0,114.0,51.0,37.0,61.0,13
0,we now have driven health care costs down to the lowest theyve been in  years,1,1,40.0,29.0,69.0,76.0,7.0,7
2,the charleston sc shootershould have never been given a gun but the universal background check was not fast enough,1,1,40.0,29.0,69.0,76.0,7.0,1
4,sixtyfive percent of the iraqi people now say its okay to shoot an american soldier,2,1,1.0,2.0,3.0,8.0,1.0,7
0,twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,1,1,70.0,71.0,160.0,163.0,9.0,1
1,says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years,6,1,0.0,0.0,1.0,0.0,0.0,13
3,warren buffett still does support me,1,1,70.0,71.0,160.0,163.0,9.0,1
3,says george lemieux was one of two republicans who voted for president barack obamas jobs bill,4,0,3.0,3.0,1.0,3.0,1.0,11
2,about  people that were on unemployment when i took office are not on unemployment now,2,0,28.0,23.0,38.0,34.0,7.0,1
5,ron klein repeatedly voted in favor of amnesty for illegal immigrants,4,0,6.0,9.0,3.0,1.0,4.0,6
0,local law enforcement    will have access to the obamacare data hubs treasure trove of personal info,1,5,0.0,1.0,0.0,0.0,0.0,12
3,during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than  years,15,1,2.0,3.0,5.0,7.0,3.0,6
0,terry mcauliffe wants to raise your taxes  to pay for his infinite promises,12,0,1.0,10.0,3.0,2.0,1.0,7
1,hypocrisy at the clinton foundation top male staff made on average  while top female staff made  from ,1,0,63.0,114.0,51.0,37.0,61.0,13
2,since the federal violence against women act was adopted in  cases of domestic violence have fallen by  percent,15,1,3.0,4.0,4.0,3.0,1.0,13
1,says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after  minutes of questioning,12,0,9.0,11.0,10.0,7.0,3.0,1
3,nearly half of all pregnancies in the us are unintended,7,1,0.0,1.0,0.0,0.0,0.0,12
1,we are borrowing saudi money for saudi oil with the result being dependency and debt,0,0,31.0,39.0,31.0,37.0,8.0,13
1,says there are homes for sale on and around oswego lake right now for under  that anyone is welcome to buy,1,2,0.0,0.0,1.0,0.0,0.0,11
1,since the president became the president we have lost  million jobs in the private sector but you know whos done ok and whos not complaining today the public sector weve gained  public sector jobs,4,0,0.0,0.0,3.0,1.0,0.0,3
0,the top  percent pay over half of the entire revenue for this country,4,0,2.0,1.0,0.0,0.0,0.0,1
4,the difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of  in saved property tax money,9,0,26.0,41.0,32.0,40.0,11.0,13
4,the united states does not have a system through which growers and dairies can bring a workforce legally into the us,0,0,33.0,24.0,32.0,35.0,5.0,11
0,says he never said he would keep education funding the same,2,0,28.0,23.0,38.0,34.0,7.0,13
3,since  college tuition nationwide has gone up something like four times the rate of inflation,9,0,26.0,41.0,32.0,40.0,11.0,1
1,says sen rob portman said it would be irresponsible not to cut medicare,2,1,2.0,6.0,7.0,4.0,1.0,7
1,washington dc had some of the strictest gun laws in the country and when they passed them violence skyrocketed,0,0,33.0,24.0,32.0,35.0,5.0,1
2,seven presidents before barack obama  republicans and democrats  tried to expand health care to all americans,15,1,0.0,0.0,3.0,3.0,0.0,3
0,while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies,7,1,0.0,1.0,0.0,0.0,0.0,3
0,if you put the  billion in revenue raised over  years by the buffett rule into infrastructure you could create  infrastructure jobs,0,1,2.0,3.0,2.0,7.0,0.0,3
3,i have repeatedly said that many of the predatory loans that were made in the mortgage system did target africanamerican and latino communities,1,1,70.0,71.0,160.0,163.0,9.0,13
2,starting in december   million jobs were created in texas in that same period the rest of the country lost  jobs,2,0,30.0,30.0,42.0,23.0,18.0,3
4,the health reform legislation which washington passed last year has made it more difficult to hire because its increased costs for employers,0,0,3.0,5.0,11.0,11.0,1.0,13
4,the cbo the congressional budget office has said that obamacare will kill  jobs,15,0,8.0,22.0,6.0,4.0,16.0,7
4,thompson voted against  caps on damages and almost anything that would make our legal system fairer,12,0,9.0,11.0,10.0,7.0,3.0,7
5,texas this fiscal year will have more money in reserve than the other  states combined,2,0,4.0,4.0,3.0,4.0,4.0,1
5,the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in ,2,0,30.0,30.0,42.0,23.0,18.0,13
2,firearms homicides are down about  percent since texas passed concealedgun permit law,15,0,1.0,1.0,1.0,3.0,0.0,6
5,we spend less on defense today as  of gdp than at any time since pearl harbor,15,0,16.0,15.0,20.0,10.0,11.0,5
2,if you got rid of the income tax today youd have about as much revenue as we had  years ago,4,0,5.0,8.0,8.0,8.0,3.0,1
1,says scott walker wants to ban common forms of birth control including the pill,15,1,2.0,5.0,8.0,5.0,3.0,4
0,jason kander supports obamas plan to bring the remaining suspected terrorists to us soil,10,0,2.0,1.0,0.0,1.0,1.0,13
1,shelby county donated im sorry gave  schools to the city of memphis,15,0,0.0,0.0,1.0,0.0,0.0,13
1,top us intelligence officials have toldevery member of congress including the president were about to be attacked in a serious way because of the threat emanating from syria and iraq,0,0,2.0,2.0,4.0,2.0,0.0,12
3,have the suburbs been inundated with former residents of atlanta housing projects absolutely not,15,2,0.0,0.0,0.0,0.0,0.0,13
4,the american people support defunding obamacare and oppose shutting down the government,0,0,33.0,24.0,32.0,35.0,5.0,2
1,report that gop insisting on changes to social security as part of fiscalcliff false btw those changes are supported by barackobama,0,0,33.0,24.0,32.0,35.0,5.0,5
3,nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun,15,5,0.0,0.0,0.0,0.0,0.0,9
5,the people of rhode island dont want samesex marriage,15,4,0.0,0.0,0.0,1.0,1.0,1
1,rep paul ryans medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit,4,1,1.0,0.0,4.0,1.0,0.0,2
3,if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts,15,5,7.0,6.0,3.0,5.0,1.0,13
4,you cant get on an airplane but more than  people on that list have been able to buy a gun,11,1,1.0,0.0,0.0,1.0,0.0,3
0, percent of republicans support the affordable care act,11,1,0.0,1.0,0.0,0.0,0.0,13
1,for every  spent on afterschool programs we can save over  almost  in crime costs down the line,7,1,0.0,0.0,2.0,1.0,1.0,3
1,the federal government has  trillion in cash flow so we can pay our bills and wont default,15,0,3.0,2.0,2.0,0.0,1.0,1
4,over  percent of small and midsize banks that loan money to small businesses have been wiped out since doddfrank has passed,0,0,33.0,24.0,32.0,35.0,5.0,7
4,you cant check out a library book without a photo id,2,0,8.0,8.0,10.0,5.0,5.0,1
0,hillary clinton supports unlimited abortion on demand up until the moment of birth including partialbirth abortion with taxpayer funding,10,0,36.0,33.0,15.0,19.0,8.0,13
2,we went from losing  million jobs in the last six months of the bush administration adding almost  private sector jobs in the first six months of the year,0,1,11.0,10.0,21.0,16.0,4.0,8
1,the star ohio fund just received the highest possible credit rating one of these funds can receive,15,0,4.0,5.0,4.0,5.0,6.0,10
2,in the last  months businesses have created more than  million jobs last year they created the most jobs since ,1,1,70.0,71.0,160.0,163.0,9.0,13
1,every year more than  million are leaving missouri for the lone star state,2,0,30.0,30.0,42.0,23.0,18.0,9
2,a college loan is the only loan in the united states that you cannot refinance when interest rates go down,1,1,4.0,2.0,12.0,11.0,3.0,3
2,the house of representatives has never passed a resolution of disapproval to condemn a members behavior,15,0,13.0,22.0,11.0,4.0,2.0,3
2,we are younger than our competitors and this is entirely because of immigration,1,1,70.0,71.0,160.0,163.0,9.0,3
1,recent international reports show the united states near the bottom among industrialized nations for k academic achievement,6,0,1.0,0.0,1.0,1.0,0.0,13
3,says  million people in this country cant find a fulltime job  million cant see a doctor when theyre sick  million people need government help to feed themselves and  million families owe more than the value of their home,11,1,6.0,5.0,4.0,11.0,1.0,13
1,the policy mistakes that  the clintons made got us in large degree to the situation that we are in today with mass incarceration,15,5,0.0,0.0,1.0,0.0,0.0,1
4,says he raised average family income by  percent during his tenure as arkansas governor,15,0,12.0,5.0,9.0,3.0,4.0,13
1,they tried to give us  million to build a highspeed train that goes  miles an hour,2,0,9.0,8.0,10.0,18.0,3.0,1
1,says the cbo estimates that fully extending the bush tax cuts would add  million jobs in  and  million jobs in ,15,2,0.0,0.0,1.0,0.0,0.0,13
3,president reagan did it raised the debt ceiling  times george w bush did it seven times,1,1,70.0,71.0,160.0,163.0,9.0,13
0,most young americans right now theyre not covered by health insurance,1,1,70.0,71.0,160.0,163.0,9.0,1
